idEvent,strTimestamp,Round,Home Team,Home Score,Away Team,Away Score,Venue,DisplayTime,Status,Away Inning Line,Home Inning Line,Away Hits,Home Hits,Away Errors,Home Errors,Poster,Thumb,gameSno,kindCode,year,officialLiveUrl
2438362,2026-06-13 09:05:00,Round 12,Wei Chuan Dragons,,Uni-President Lions,,,17:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/ccgdjf1712659602.jpg,,,,
2438363,2026-06-14 08:05:00,Round 12,Wei Chuan Dragons,,Uni-President Lions,,,16:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/ccgdjf1712659602.jpg,,,,
2438364,2026-06-14 09:05:00,Round 12,Fubon Guardians,,TSG Hawks,,,17:05,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/9g2hkv1775241019.jpg,,,,
2438365,2026-06-14 09:05:00,Round 12,CTBC Brothers,,Rakuten Monkeys,,,17:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/jt9ui71712659516.jpg,,,,
2438366,2026-06-16 10:35:00,Round 13,TSG Hawks,,CTBC Brothers,,,18:35,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/qlzyq71775241020.jpg,,,,
2438367,2026-06-16 10:35:00,Round 13,Uni-President Lions,,Rakuten Monkeys,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/0jhrmu1712659534.jpg,,,,
2438368,2026-06-17 10:35:00,Round 13,Wei Chuan Dragons,,Fubon Guardians,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/gz6l981712659605.jpg,,,,
2438369,2026-06-18 10:35:00,Round 13,CTBC Brothers,,Fubon Guardians,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/me3dno1712659534.jpg,,,,
2438370,2026-06-18 10:35:00,Round 13,Rakuten Monkeys,,Wei Chuan Dragons,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/s3n4sz1712659536.jpg,,,,
2438371,2026-06-18 10:35:00,Round 13,Uni-President Lions,,TSG Hawks,,,18:35,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/jf14pp1775241022.jpg,,,,
2438372,2026-06-19 08:05:00,Round 13,Uni-President Lions,,TSG Hawks,,,16:05,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/6jaq551775241023.jpg,,,,
2438373,2026-06-19 09:05:00,Round 13,CTBC Brothers,,Fubon Guardians,,,17:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/me3dno1712659534.jpg,,,,
2438374,2026-06-19 09:05:00,Round 13,Rakuten Monkeys,,Wei Chuan Dragons,,,17:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/s3n4sz1712659536.jpg,,,,
2438375,2026-06-20 08:05:00,Round 13,Uni-President Lions,,CTBC Brothers,,,16:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/8vqs4a1712659537.jpg,,,,
2438376,2026-06-20 08:05:00,Round 13,TSG Hawks,,Wei Chuan Dragons,,,16:05,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/14ptxf1775241024.jpg,,,,
2438377,2026-06-20 09:05:00,Round 13,Rakuten Monkeys,,Fubon Guardians,,,17:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/cw41ci1712659519.jpg,,,,
2438378,2026-06-21 08:05:00,Round 13,TSG Hawks,,Wei Chuan Dragons,,,16:05,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/zmz1dk1775241025.jpg,,,,
2438379,2026-06-21 08:05:00,Round 13,Uni-President Lions,,CTBC Brothers,,,16:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/8vqs4a1712659537.jpg,,,,
2438380,2026-06-21 09:05:00,Round 13,Rakuten Monkeys,,Fubon Guardians,,,17:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/cw41ci1712659519.jpg,,,,
2438381,2026-07-03 10:35:00,Round 14,CTBC Brothers,,Rakuten Monkeys,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/jt9ui71712659516.jpg,,,,
2438382,2026-07-03 10:35:00,Round 14,TSG Hawks,,Uni-President Lions,,,18:35,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/2603k91775241026.jpg,,,,
2438383,2026-07-03 10:35:00,Round 14,Wei Chuan Dragons,,Fubon Guardians,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/gz6l981712659605.jpg,,,,
2438384,2026-07-04 08:05:00,Round 14,TSG Hawks,,Uni-President Lions,,,16:05,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/6ztz8c1775241027.jpg,,,,
2438385,2026-07-04 09:05:00,Round 14,Wei Chuan Dragons,,Fubon Guardians,,,17:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/gz6l981712659605.jpg,,,,
2438386,2026-07-04 09:05:00,Round 14,CTBC Brothers,,Rakuten Monkeys,,,17:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/jt9ui71712659516.jpg,,,,
2438387,2026-07-05 08:05:00,Round 14,Wei Chuan Dragons,,Fubon Guardians,,,16:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/gz6l981712659605.jpg,,,,
2438388,2026-07-05 08:05:00,Round 14,TSG Hawks,,Uni-President Lions,,,16:05,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/92vj621775241028.jpg,,,,
2438389,2026-07-05 09:05:00,Round 14,CTBC Brothers,,Rakuten Monkeys,,,17:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/jt9ui71712659516.jpg,,,,
2438390,2026-07-07 10:35:00,Round 15,Fubon Guardians,,Rakuten Monkeys,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/gwf44t1712659602.jpg,,,,
2438391,2026-07-07 10:35:00,Round 15,Uni-President Lions,,CTBC Brothers,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/8vqs4a1712659537.jpg,,,,
2438392,2026-07-08 10:35:00,Round 15,Fubon Guardians,,Rakuten Monkeys,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/gwf44t1712659602.jpg,,,,
2438393,2026-07-08 10:35:00,Round 15,Uni-President Lions,,CTBC Brothers,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/8vqs4a1712659537.jpg,,,,
2438394,2026-07-08 10:35:00,Round 15,Wei Chuan Dragons,,TSG Hawks,,,18:35,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/irljf31775241029.jpg,,,,
2438395,2026-07-09 10:35:00,Round 15,Wei Chuan Dragons,,TSG Hawks,,,18:35,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/6m03511775241030.jpg,,,,
2438396,2026-07-10 10:35:00,Round 15,Uni-President Lions,,Wei Chuan Dragons,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/l2ne001712659508.jpg,,,,
2438397,2026-07-10 10:35:00,Round 15,Fubon Guardians,,CTBC Brothers,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/cmjt7a1712659539.jpg,,,,
2438398,2026-07-10 10:35:00,Round 15,Rakuten Monkeys,,TSG Hawks,,,18:35,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/6n51y61775241031.jpg,,,,
2438399,2026-07-11 08:05:00,Round 15,Uni-President Lions,,Wei Chuan Dragons,,,16:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/l2ne001712659508.jpg,,,,
2438400,2026-07-11 09:05:00,Round 15,Fubon Guardians,,CTBC Brothers,,,17:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/cmjt7a1712659539.jpg,,,,
2438401,2026-07-11 09:05:00,Round 15,Rakuten Monkeys,,TSG Hawks,,,17:05,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/56szje1775241032.jpg,,,,
2438402,2026-07-12 08:05:00,Round 15,Uni-President Lions,,Wei Chuan Dragons,,,16:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/l2ne001712659508.jpg,,,,
2438403,2026-07-12 09:05:00,Round 15,Fubon Guardians,,CTBC Brothers,,,17:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/cmjt7a1712659539.jpg,,,,
2438404,2026-07-12 09:05:00,Round 15,Rakuten Monkeys,,TSG Hawks,,,17:05,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/sp56bl1775241033.jpg,,,,
2438405,2026-07-14 10:35:00,Round 16,CTBC Brothers,,Wei Chuan Dragons,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/r7fgxi1712659538.jpg,,,,
2438406,2026-07-14 10:35:00,Round 16,TSG Hawks,,Fubon Guardians,,,18:35,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/pm2p7o1775241035.jpg,,,,
2438407,2026-07-15 10:35:00,Round 16,TSG Hawks,,Fubon Guardians,,,18:35,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/kuw3n41775241036.jpg,,,,
2438408,2026-07-15 10:35:00,Round 16,CTBC Brothers,,Wei Chuan Dragons,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/r7fgxi1712659538.jpg,,,,
2438409,2026-07-15 10:35:00,Round 16,Rakuten Monkeys,,Uni-President Lions,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/nf3jpm1712659540.jpg,,,,
2438410,2026-07-16 10:35:00,Round 16,Rakuten Monkeys,,Uni-President Lions,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/nf3jpm1712659540.jpg,,,,
2438411,2026-07-21 10:35:00,Round 17,CTBC Brothers,,TSG Hawks,,,18:35,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/lm5oh81775241037.jpg,,,,
2438412,2026-07-21 10:35:00,Round 17,Wei Chuan Dragons,,Rakuten Monkeys,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/udx3701712659513.jpg,,,,
2438413,2026-07-22 10:35:00,Round 17,CTBC Brothers,,TSG Hawks,,,18:35,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/1rj0lx1775241037.jpg,,,,
2438414,2026-07-22 10:35:00,Round 17,Uni-President Lions,,Fubon Guardians,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/p7sgxb1712659516.jpg,,,,
2438415,2026-07-22 10:35:00,Round 17,Wei Chuan Dragons,,Rakuten Monkeys,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/udx3701712659513.jpg,,,,
2438416,2026-07-23 10:35:00,Round 17,Uni-President Lions,,Fubon Guardians,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/p7sgxb1712659516.jpg,,,,
2438417,2026-07-24 10:35:00,Round 17,TSG Hawks,,Wei Chuan Dragons,,,18:35,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/y7jbxp1775241038.jpg,,,,
2438418,2026-07-24 10:35:00,Round 17,Rakuten Monkeys,,Fubon Guardians,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/cw41ci1712659519.jpg,,,,
2438419,2026-07-24 10:35:00,Round 17,CTBC Brothers,,Uni-President Lions,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/1z4q9v1712659527.jpg,,,,
2438420,2026-07-25 08:05:00,Round 17,TSG Hawks,,Wei Chuan Dragons,,,16:05,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/nuqv601775241039.jpg,,,,
2438421,2026-07-25 09:05:00,Round 17,CTBC Brothers,,Uni-President Lions,,,17:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/1z4q9v1712659527.jpg,,,,
2438422,2026-07-25 09:05:00,Round 17,Rakuten Monkeys,,Fubon Guardians,,,17:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/cw41ci1712659519.jpg,,,,
2438423,2026-07-26 08:05:00,Round 17,TSG Hawks,,Wei Chuan Dragons,,,16:05,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/f9gxif1775241040.jpg,,,,
2438424,2026-07-26 09:05:00,Round 17,CTBC Brothers,,Uni-President Lions,,,17:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/1z4q9v1712659527.jpg,,,,
2438425,2026-07-26 09:05:00,Round 17,Rakuten Monkeys,,Fubon Guardians,,,17:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/cw41ci1712659519.jpg,,,,
2438426,2026-07-28 10:35:00,Round 18,Fubon Guardians,,Wei Chuan Dragons,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/u5uxeq1712659524.jpg,,,,
2438427,2026-07-28 10:35:00,Round 18,Uni-President Lions,,TSG Hawks,,,18:35,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/5437jo1775241041.jpg,,,,
2438428,2026-07-29 10:35:00,Round 18,Uni-President Lions,,TSG Hawks,,,18:35,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/cd1cik1775241042.jpg,,,,
2438429,2026-07-29 10:35:00,Round 18,Rakuten Monkeys,,CTBC Brothers,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/e1mwnh1712659604.jpg,,,,
2438430,2026-07-29 10:35:00,Round 18,Fubon Guardians,,Wei Chuan Dragons,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/u5uxeq1712659524.jpg,,,,
2438431,2026-07-30 10:35:00,Round 18,Rakuten Monkeys,,CTBC Brothers,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/e1mwnh1712659604.jpg,,,,
2438432,2026-07-31 10:35:00,Round 18,Fubon Guardians,,TSG Hawks,,,18:35,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/hygedz1775241043.jpg,,,,
2438433,2026-07-31 10:35:00,Round 18,Uni-President Lions,,Rakuten Monkeys,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/0jhrmu1712659534.jpg,,,,
2438434,2026-07-31 10:35:00,Round 18,Wei Chuan Dragons,,CTBC Brothers,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/b8xtw51712659533.jpg,,,,
2438435,2026-08-01 08:05:00,Round 18,Uni-President Lions,,Rakuten Monkeys,,,16:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/0jhrmu1712659534.jpg,,,,
2438436,2026-08-01 09:05:00,Round 18,Fubon Guardians,,TSG Hawks,,,17:05,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/q8nh4m1775241044.jpg,,,,
2438437,2026-08-01 09:05:00,Round 18,Wei Chuan Dragons,,CTBC Brothers,,,17:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/b8xtw51712659533.jpg,,,,
2438438,2026-08-02 07:05:00,Round 18,Wei Chuan Dragons,,CTBC Brothers,,,15:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/b8xtw51712659533.jpg,,,,
2438439,2026-08-02 08:05:00,Round 18,Uni-President Lions,,Rakuten Monkeys,,,16:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/0jhrmu1712659534.jpg,,,,
2438440,2026-08-02 09:05:00,Round 18,Fubon Guardians,,TSG Hawks,,,17:05,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/3765vl1775241045.jpg,,,,
2438441,2026-08-04 10:35:00,Round 19,CTBC Brothers,,Fubon Guardians,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/me3dno1712659534.jpg,,,,
2438442,2026-08-04 10:35:00,Round 19,TSG Hawks,,Rakuten Monkeys,,,18:35,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/xnlb0l1775241046.jpg,,,,
2438443,2026-08-05 10:35:00,Round 19,CTBC Brothers,,Fubon Guardians,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/me3dno1712659534.jpg,,,,
2438444,2026-08-05 10:35:00,Round 19,TSG Hawks,,Rakuten Monkeys,,,18:35,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/lf2dn11775241047.jpg,,,,
2438445,2026-08-05 10:35:00,Round 19,Wei Chuan Dragons,,Uni-President Lions,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/ccgdjf1712659602.jpg,,,,
2438446,2026-08-06 10:35:00,Round 19,Wei Chuan Dragons,,Uni-President Lions,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/ccgdjf1712659602.jpg,,,,
2438447,2026-08-07 10:35:00,Round 19,Fubon Guardians,,Uni-President Lions,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/dubti11712659539.jpg,,,,
2438448,2026-08-07 10:35:00,Round 19,Rakuten Monkeys,,Wei Chuan Dragons,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/s3n4sz1712659536.jpg,,,,
2438449,2026-08-07 10:35:00,Round 19,TSG Hawks,,CTBC Brothers,,,18:35,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/di76p61775241048.jpg,,,,
2438450,2026-08-08 08:05:00,Round 19,TSG Hawks,,CTBC Brothers,,,16:05,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/j17jer1775241049.jpg,,,,
2438451,2026-08-08 09:05:00,Round 19,Fubon Guardians,,Uni-President Lions,,,17:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/dubti11712659539.jpg,,,,
2438452,2026-08-08 09:05:00,Round 19,Rakuten Monkeys,,Wei Chuan Dragons,,,17:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/s3n4sz1712659536.jpg,,,,
2438453,2026-08-09 08:05:00,Round 19,TSG Hawks,,CTBC Brothers,,,16:05,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/tpthw11775241050.jpg,,,,
2438454,2026-08-09 09:05:00,Round 19,Fubon Guardians,,Uni-President Lions,,,17:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/dubti11712659539.jpg,,,,
2438455,2026-08-09 09:05:00,Round 19,Rakuten Monkeys,,Wei Chuan Dragons,,,17:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/s3n4sz1712659536.jpg,,,,
2438456,2026-08-11 10:35:00,Round 20,TSG Hawks,,Wei Chuan Dragons,,,18:35,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/qarrb01775241051.jpg,,,,
2438457,2026-08-11 10:35:00,Round 20,Uni-President Lions,,Rakuten Monkeys,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/0jhrmu1712659534.jpg,,,,
2438458,2026-08-12 10:35:00,Round 20,Fubon Guardians,,CTBC Brothers,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/cmjt7a1712659539.jpg,,,,
2438459,2026-08-12 10:35:00,Round 20,TSG Hawks,,Wei Chuan Dragons,,,18:35,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/e25xhv1775241052.jpg,,,,
2438460,2026-08-12 10:35:00,Round 20,Uni-President Lions,,Rakuten Monkeys,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/0jhrmu1712659534.jpg,,,,
2438461,2026-08-13 10:35:00,Round 20,Fubon Guardians,,CTBC Brothers,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/cmjt7a1712659539.jpg,,,,
2438462,2026-08-14 10:35:00,Round 20,Wei Chuan Dragons,,Rakuten Monkeys,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/udx3701712659513.jpg,,,,
2438463,2026-08-14 10:35:00,Round 20,Uni-President Lions,,Fubon Guardians,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/p7sgxb1712659516.jpg,,,,
2438464,2026-08-14 10:35:00,Round 20,CTBC Brothers,,TSG Hawks,,,18:35,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/69xi671775241053.jpg,,,,
2438465,2026-08-15 08:05:00,Round 20,Uni-President Lions,,Fubon Guardians,,,16:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/p7sgxb1712659516.jpg,,,,
2438466,2026-08-15 09:05:00,Round 20,CTBC Brothers,,TSG Hawks,,,17:05,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/r6zerq1775241054.jpg,,,,
2438467,2026-08-15 09:05:00,Round 20,Wei Chuan Dragons,,Rakuten Monkeys,,,17:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/udx3701712659513.jpg,,,,
2438468,2026-08-16 07:05:00,Round 20,Wei Chuan Dragons,,Rakuten Monkeys,,,15:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/udx3701712659513.jpg,,,,
2438469,2026-08-16 08:05:00,Round 20,Uni-President Lions,,Fubon Guardians,,,16:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/p7sgxb1712659516.jpg,,,,
2438470,2026-08-16 09:05:00,Round 20,CTBC Brothers,,TSG Hawks,,,17:05,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/4vf3fk1775241055.jpg,,,,
2438471,2026-08-18 10:35:00,Round 21,Rakuten Monkeys,,Fubon Guardians,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/cw41ci1712659519.jpg,,,,
2438472,2026-08-18 10:35:00,Round 21,TSG Hawks,,Uni-President Lions,,,18:35,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/35xz2w1775241056.jpg,,,,
2438473,2026-08-19 10:35:00,Round 21,Wei Chuan Dragons,,CTBC Brothers,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/b8xtw51712659533.jpg,,,,
2438474,2026-08-19 10:35:00,Round 21,TSG Hawks,,Uni-President Lions,,,18:35,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/0qni911775241057.jpg,,,,
2438475,2026-08-19 10:35:00,Round 21,Rakuten Monkeys,,Fubon Guardians,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/cw41ci1712659519.jpg,,,,
2438476,2026-08-20 10:35:00,Round 21,Wei Chuan Dragons,,CTBC Brothers,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/b8xtw51712659533.jpg,,,,
2438477,2026-08-21 10:35:00,Round 21,Fubon Guardians,,Wei Chuan Dragons,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/u5uxeq1712659524.jpg,,,,
2438478,2026-08-21 10:35:00,Round 21,TSG Hawks,,Rakuten Monkeys,,,18:35,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/r083re1775241058.jpg,,,,
2438479,2026-08-21 10:35:00,Round 21,Uni-President Lions,,CTBC Brothers,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/8vqs4a1712659537.jpg,,,,
2438480,2026-08-22 08:05:00,Round 21,TSG Hawks,,Rakuten Monkeys,,,16:05,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/0yr9yv1775241060.jpg,,,,
2438481,2026-08-22 08:05:00,Round 21,Uni-President Lions,,CTBC Brothers,,,16:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/8vqs4a1712659537.jpg,,,,
2438482,2026-08-22 09:05:00,Round 21,Fubon Guardians,,Wei Chuan Dragons,,,17:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/u5uxeq1712659524.jpg,,,,
2438483,2026-08-23 08:05:00,Round 21,TSG Hawks,,Rakuten Monkeys,,,16:05,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/6zvped1775241061.jpg,,,,
2438484,2026-08-23 08:05:00,Round 21,Uni-President Lions,,CTBC Brothers,,,16:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/8vqs4a1712659537.jpg,,,,
2438485,2026-08-23 09:05:00,Round 21,Fubon Guardians,,Wei Chuan Dragons,,,17:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/u5uxeq1712659524.jpg,,,,
2438486,2026-08-25 10:35:00,Round 22,CTBC Brothers,,Rakuten Monkeys,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/jt9ui71712659516.jpg,,,,
2438487,2026-08-25 10:35:00,Round 22,Uni-President Lions,,Wei Chuan Dragons,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/l2ne001712659508.jpg,,,,
2438488,2026-08-26 10:35:00,Round 22,CTBC Brothers,,Rakuten Monkeys,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/jt9ui71712659516.jpg,,,,
2438489,2026-08-26 10:35:00,Round 22,Fubon Guardians,,TSG Hawks,,,18:35,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/0gvsdb1775241062.jpg,,,,
2438490,2026-08-26 10:35:00,Round 22,Uni-President Lions,,Wei Chuan Dragons,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/l2ne001712659508.jpg,,,,
2438491,2026-08-27 10:35:00,Round 22,Fubon Guardians,,TSG Hawks,,,18:35,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/beg6js1775241062.jpg,,,,
2438492,2026-08-28 10:35:00,Round 22,CTBC Brothers,,Fubon Guardians,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/me3dno1712659534.jpg,,,,
2438493,2026-08-28 10:35:00,Round 22,Rakuten Monkeys,,Uni-President Lions,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/nf3jpm1712659540.jpg,,,,
