idEvent,strTimestamp,Round,Home Team,Home Score,Away Team,Away Score,Poster,Thumb
2390747,2026-04-21 09:00:00,Round 0,Saitama Seibu Lions,,Fukuoka SoftBank Hawks,,,https://r2.thesportsdb.com/images/media/event/thumb/ik38gv1648817688.jpg
2390748,2026-04-21 09:00:00,Round 0,Yomiuri Giants,,Chunichi Dragons,,,https://r2.thesportsdb.com/images/media/event/thumb/c65xor1648817493.jpg
2390750,2026-04-21 09:00:00,Round 0,Hokkaido Nippon-Ham Fighters,,Tohoku Rakuten Golden Eagles,,,https://r2.thesportsdb.com/images/media/event/thumb/xfj24v1648817687.jpg
2390751,2026-04-21 09:00:00,Round 0,Hiroshima Toyo Carp,,Tokyo Yakult Swallows,,,https://r2.thesportsdb.com/images/media/event/thumb/wq28m81648817465.jpg
2390752,2026-04-21 09:00:00,Round 0,Chiba Lotte Marines,,Orix Buffaloes,,,https://r2.thesportsdb.com/images/media/event/thumb/387a2o1648817683.jpg
2390757,2026-04-22 08:45:00,Round 0,Yokohama DeNA BayStars,,Hanshin Tigers,,,https://r2.thesportsdb.com/images/media/event/thumb/re5zv61648817492.jpg
2390753,2026-04-22 09:00:00,Round 0,Chiba Lotte Marines,,Orix Buffaloes,,,https://r2.thesportsdb.com/images/media/event/thumb/387a2o1648817683.jpg
2390754,2026-04-22 09:00:00,Round 0,Hiroshima Toyo Carp,,Tokyo Yakult Swallows,,,https://r2.thesportsdb.com/images/media/event/thumb/wq28m81648817465.jpg
2390755,2026-04-22 09:00:00,Round 0,Hokkaido Nippon-Ham Fighters,,Tohoku Rakuten Golden Eagles,,,https://r2.thesportsdb.com/images/media/event/thumb/xfj24v1648817687.jpg
2390756,2026-04-22 09:00:00,Round 0,Saitama Seibu Lions,,Fukuoka SoftBank Hawks,,,https://r2.thesportsdb.com/images/media/event/thumb/ik38gv1648817688.jpg
2390758,2026-04-22 09:00:00,Round 0,Yomiuri Giants,,Chunichi Dragons,,,https://r2.thesportsdb.com/images/media/event/thumb/c65xor1648817493.jpg
